JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458887.042,11.966,0.123,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.920|VERR=0.115|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.2055|CX=1.2049|KX=1.2053|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.198,Z,15.125,15.709,,AH HER,AAVSO,STD,102,,,
2458887.042,11.954,0.048,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.913|VERR=0.037|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.2038|CX=1.2032|KX=1.2035|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.196,Z,15.132,15.734,,AH HER,AAVSO,STD,103,,,
2458887.043,11.955,0.052,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.910|VERR=0.042|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.2020|CX=1.2015|KX=1.2018|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.194,Z,15.12,15.706,,AH HER,AAVSO,STD,104,,,
2458887.043,11.938,0.052,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.888|VERR=0.042|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.2003|CX=1.1997|KX=1.2001|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.193,Z,15.119,15.71,,AH HER,AAVSO,STD,105,,,
2458888.038,11.947,0.076,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.529|VERR=0.023|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2119|CX=1.2113|KX=1.2116|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.204,Z,14.441,15.759,,AH HER,AAVSO,STD,105,,,
2458888.038,11.929,0.08,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.533|VERR=0.024|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2089|CX=1.2083|KX=1.2086|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.201,Z,14.443,15.776,,AH HER,AAVSO,STD,106,,,
2458888.039,11.946,0.074,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.515|VERR=0.024|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2059|CX=1.2053|KX=1.2056|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.198,Z,14.447,15.91,,AH HER,AAVSO,STD,107,,,
2458888.04,11.977,0.077,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.524|VERR=0.024|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2030|CX=1.2024|KX=1.2027|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.195,Z,14.413,15.952,,AH HER,AAVSO,STD,108,,,
2458888.04,12.167,0.056,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.857|VERR=0.032|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.2000|CX=1.1994|KX=1.1997|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.192,Z,14.397,15.435,,AH HER,AAVSO,STD,106,,,
2458888.041,12.105,0.053,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.837|VERR=0.033|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.1978|CX=1.1972|KX=1.1975|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.19,Z,14.437,15.414,,AH HER,AAVSO,STD,107,,,
2458888.042,12.161,0.057,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.854|VERR=0.038|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.1956|CX=1.1950|KX=1.1953|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.188,Z,14.399,15.457,,AH HER,AAVSO,STD,108,,,
2458888.042,12.147,0.048,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.841|VERR=0.035|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.1935|CX=1.1929|KX=1.1932|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.186,Z,14.368,15.433,,AH HER,AAVSO,STD,109,,,
2458888.043,12.118,0.052,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.829|VERR=0.034|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.1914|CX=1.1908|KX=1.1911|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.184,Z,14.383,15.334,,AH HER,AAVSO,STD,110,,,
2458888.043,11.94,0.051,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.865|VERR=0.041|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1890|CX=1.1884|KX=1.1887|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.181,Z,15.088,15.67,,AH HER,AAVSO,STD,106,,,
2458888.044,11.97,0.053,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.893|VERR=0.041|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1874|CX=1.1868|KX=1.1871|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.18,Z,15.111,15.703,,AH HER,AAVSO,STD,107,,,
2458888.044,11.996,0.052,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.887|VERR=0.040|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1857|CX=1.1852|KX=1.1855|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.178,Z,15.071,15.667,,AH HER,AAVSO,STD,108,,,
2458888.044,11.954,0.051,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.873|VERR=0.041|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1841|CX=1.1836|KX=1.1839|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.176,Z,15.091,15.718,,AH HER,AAVSO,STD,109,,,
2458888.045,12.024,0.055,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.893|VERR=0.042|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1825|CX=1.1820|KX=1.1823|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.175,Z,15.068,15.616,,AH HER,AAVSO,STD,110,,,
2458891.042,13.228,0.061,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.950|VERR=0.020|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.1635|CX=1.1630|KX=1.1632|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.157,Z,14.21,15.565,,AH HER,AAVSO,STD,109,,,
2458891.043,13.292,0.069,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.957|VERR=0.020|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.1606|CX=1.1601|KX=1.1604|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.155,Z,14.199,15.537,,AH HER,AAVSO,STD,110,,,
2458891.043,12.538,0.08,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.951|VERR=0.022|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.1580|CX=1.1575|KX=1.1577|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.152,Z,14.249,15.613,,AH HER,AAVSO,STD,111,,,
2458891.044,12.593,0.075,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.988|VERR=0.020|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.1553|CX=1.1548|KX=1.1551|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.149,Z,14.255,15.659,,AH HER,AAVSO,STD,112,,,
