JD,Magnitude,Band
454.80099999997765,9.523,B
454.80200000014156,9.489,B
457.83099999977276,11.897,B
458.82500000018626,12.469,B
458.82500000018626,12.552,B
458.8259999998845,12.405,B
458.82700000004843,12.495,B
464.86200000019744,15.314,B
464.8629999998957,15.255,B
464.8629999998957,15.264,B
464.8640000000596,15.252,B
465.8739999998361,17.909,B
465.875,18.383,B
465.875,17.886,B
465.8760000001639,18.202,B
467.8450000002049,15.275,B
467.8450000002049,15.255,B
467.84599999990314,15.273,B
467.84700000006706,15.249,B
483.7530000000261,15.583,B
483.75400000019,15.613,B
483.75499999988824,15.287,B
483.75499999988824,17.508,B
493.76699999999255,12.8,B
493.76800000015646,12.785,B
493.7689999998547,12.848,B
493.7700000000186,12.802,B
496.74299999978393,8.993,B
496.74299999978393,9.012,B
496.74399999994785,8.909,B
496.74500000011176,8.951,B
497.7719999998808,8.9,B
497.7719999998808,8.971,B
497.7730000000447,8.866,B
497.7740000002086,9.11,B
505.7390000000596,14.531,B
505.7400000002235,14.492,B
505.7400000002235,14.314,B
505.74099999992177,14.205,B
506.7349999998696,14.661,B
506.7360000000335,15.293,B
506.73700000019744,15.295,B
506.7379999998957,15.271,B
508.72899999981746,17.444,B
508.7299999999814,17.334,B
508.7299999999814,17.219,B
508.7310000001453,17.34,B
509.72300000023097,15.117,B
509.7239999999292,15.239,B
509.7239999999292,15.152,B
509.72500000009313,15.073,B
511.70200000004843,15.099,B
511.70300000021234,15.194,B
511.7039999999106,15.202,B
511.7050000000745,15.177,B
512.7179999998771,15.135,B
512.7179999998771,15.174,B
512.719000000041,15.065,B
512.7200000002049,15.299,B
513.7200000002049,15.159,B
513.7209999999031,14.423,B
513.722000000067,13.983,B
513.723000000231,14.774,B
520.7310000001453,8.768,B
520.7319999998435,8.719,B
520.7330000000075,8.809,B
520.7340000001714,8.721,B
521.7319999998435,8.92,B
521.7330000000075,8.971,B
521.7340000001714,8.843,B
521.7349999998696,9.068,B
522.7340000001714,9.123,B
522.7340000001714,8.959,B
522.7349999998696,8.957,B
522.7360000000335,9.015,B
531.6850000000559,15.86,B
531.6860000002198,15.417,B
531.686999999918,15.976,B
531.686999999918,16.175,B
532.7000000001863,15.765,B
532.7020000000484,15.781,B
532.7020000000484,16.053,B
534.6970000001602,16.07,B
534.6979999998584,15.707,B
534.6990000000224,15.823,B
534.6990000000224,15.764,B
537.6809999998659,14.787,B
537.6809999998659,15.128,B
537.6820000000298,15.13,B
540.6699999999255,14.023,B
540.6710000000894,16.443,B
540.6710000000894,16.287,B
540.6729999999516,16.692,B
550.6460000001825,12.102,B
550.6460000001825,12.068,B
550.6469999998808,12.087,B
550.6480000000447,12.203,B
728.8939999998547,14.571,B
744.0380000001751,12.07,B
764.8580000000075,14.088,B
848.0,11.7422,B
863.0,14.7788,B
865.0,13.6836,B
867.0,12.3589,B
869.0,12.0964,B
871.0,12.1182,B
872.0,12.7056,B
875.0,13.4435,B
877.0,14.2852,B
880.0,14.3872,B
882.0,14.2885,B
884.0,12.7444,B
886.0,12.0133,B
889.0,11.4843,B
891.0,11.9996,B
895.0,12.2532,B
1214.632000000216,12.086,B
1214.7519999998622,12.489,B
1216.6230000001378,11.651,B
1230.5780000002123,13.764,B
