x_fit,y_fit
1816.089791103483,1.0
1816.0901484174158,1.0
1816.0905057313487,1.0
1816.0908630452814,1.0
1816.091220359214,1.0
1816.0915776731467,1.0
1816.0919349870796,1.0
1816.0922923010123,1.0
1816.092649614945,1.0
1816.093006928878,1.0
1816.0933642428106,1.0
1816.0937215567433,1.0
1816.094078870676,1.0
1816.0944361846089,1.0
1816.0947934985415,1.0
1816.0951508124742,1.0
1816.0955081264071,1.0
1816.0958654403398,1.0
1816.0962227542725,1.0
1816.0965800682052,1.0
1816.096937382138,1.0
1816.0972946960708,1.0
1816.0976520100035,1.0
1816.0980093239364,1.0
1816.098366637869,1.0
1816.0987239518017,1.0
1816.0990812657344,1.0
1816.0994385796673,1.0
1816.0997958936,1.0
1816.1001532075327,1.0
1816.1005105214656,1.0
1816.1008678353983,1.0
1816.101225149331,1.0
1816.1015824632636,1.0
1816.1019397771965,1.0
1816.1022970911292,1.0
1816.102654405062,1.0
1816.1030117189948,1.0
1816.1033690329275,1.0
1816.1037263468602,1.0
1816.1040836607929,1.0
1816.1044409747258,1.0
1816.1047982886585,1.0
1816.1051556025911,1.0
1816.105512916524,1.0
1816.1058702304567,1.0
1816.1062275443894,1.0
1816.1065848583223,1.0
1816.106942172255,1.0
1816.1072994861877,1.0
1816.1076568001204,1.0
1816.1080141140533,1.0
1816.108371427986,1.0
1816.1087287419186,1.0
1816.1090860558515,1.0
1816.1094433697842,1.0
1816.109800683717,1.0
1816.1101579976496,1.0
1816.1105153115825,1.0
1816.1108726255152,1.0
1816.1112299394479,1.0
1816.1115872533808,1.0
1816.1119445673135,1.0
1816.1123018812461,1.0
1816.1126591951788,1.0
1816.1130165091117,1.0
1816.1133738230444,1.0
1816.113731136977,1.0
1816.11408845091,1.0
1816.1144457648427,1.0
1816.1148030787754,1.0
1816.115160392708,1.0
1816.115517706641,1.0
1816.1158750205736,1.0
1816.1162323345063,1.0
1816.1165896484392,1.0
1816.116946962372,1.0
1816.1173042763046,1.0
1816.1176615902373,1.0
1816.1180189041702,1.0
1816.1183762181029,1.0
1816.1187335320355,1.0
1816.1190908459685,1.0
1816.1194481599011,1.0
1816.1198054738338,1.0
1816.1201627877665,1.0
1816.1205201016994,1.0
1816.120877415632,1.0
1816.1212347295648,1.0
1816.1215920434977,1.0
1816.1219493574304,1.0
1816.122306671363,1.0
1816.1226639852957,1.0
1816.1230212992286,1.0
1816.1233786131613,1.0
1816.123735927094,1.0
1816.124093241027,1.0
1816.1244505549596,1.0
1816.1248078688923,1.0
1816.125165182825,1.0
1816.1255224967579,1.0
1816.1258798106905,1.0
1816.1262371246232,1.0
1816.1265944385561,1.0
1816.1269517524888,1.0
1816.1273090664215,1.0
1816.1276663803542,1.0
1816.128023694287,1.0
1816.1283810082198,1.0
