BJD_TDB,err_d
1683.3908049142522,1.0496714462662439e-05
1683.4957720588789,1.0496714462662439e-05
1683.6007392035053,1.0496714462662439e-05
1683.705706348132,1.0496714462662439e-05
1683.8106734927587,1.0496714462662439e-05
1683.9156406373852,1.0496714462662439e-05
1684.0206707622986,0.006786529774377934
1684.1255749266386,1.0496714462662439e-05
1684.232263532437,0.005297920961559871
1684.3355092158918,1.0496714462662439e-05
1684.4404763605185,1.0496714462662439e-05
1684.545443505145,1.0496714462662439e-05
1684.6504106497716,1.0496714462662439e-05
1684.7553777943983,1.0496714462662439e-05
1684.8603449390248,1.0496714462662439e-05
1684.9653120836515,1.0496714462662439e-05
1685.0702792282782,1.0496714462662439e-05
1685.1752463729047,1.0496714462662439e-05
1685.2816200772693,0.004572625550079062
1685.385180662158,1.0496714462662439e-05
1685.4931498671208,0.005098759940954982
1685.5951149514112,1.0496714462662439e-05
1685.7032940906636,0.004903478192730663
1685.8050912275226,0.002936851613148143
1685.9120527478967,0.0048698554037092615
1686.0149835299178,1.0496714462662439e-05
1686.1207064379857,0.004846006835674075
1686.224917819171,1.0496714462662439e-05
1686.3298849637977,1.0496714462662439e-05
1686.4348521084244,1.0496714462662439e-05
1686.5398192530508,1.0496714462662439e-05
1686.6447863976775,1.0496714462662439e-05
1686.7497535423042,1.0496714462662439e-05
1686.8547206869307,1.0496714462662439e-05
1686.9596878315574,1.0496714462662439e-05
1687.064654976184,1.0496714462662439e-05
1687.1696221208106,1.0496714462662439e-05
1687.2745892654373,1.0496714462662439e-05
1687.379556410064,1.0496714462662439e-05
1687.4845235546904,1.0496714462662439e-05
1687.5894906993171,1.0496714462662439e-05
1687.6944578439438,1.0496714462662439e-05
1687.7994249885703,1.0496714462662439e-05
1688.0093592778237,1.0496714462662439e-05
1688.1143264224502,1.0496714462662439e-05
1688.2192935670769,1.0496714462662439e-05
1688.3242607117036,1.0496714462662439e-05
1688.42922785633,1.0496714462662439e-05
1688.5341950009567,1.0496714462662439e-05
1688.6391621455834,1.0496714462662439e-05
1688.74412929021,1.0496714462662439e-05
1688.8490964348366,1.0496714462662439e-05
1688.9540635794633,1.0496714462662439e-05
1689.0590307240898,1.0496714462662439e-05
1689.1639978687165,1.0496714462662439e-05
1689.2689650133432,1.0496714462662439e-05
1689.3739321579696,1.0496714462662439e-05
1689.4788993025963,1.0496714462662439e-05
1689.583866447223,1.0496714462662439e-05
1689.6888335918495,1.0496714462662439e-05
1689.7938007364762,1.0496714462662439e-05
1689.899271723397,0.004669503546545942
1690.003839992874,0.002593318528131626
1690.1121870795578,0.006410079538668795
1690.2136693149828,1.0496714462662439e-05
1690.3223522965293,0.004782292693791333
1690.423603604236,1.0496714462662439e-05
1690.5296414137379,0.0050365865189986965
1690.6335378934893,1.0496714462662439e-05
1690.7385050381158,1.0496714462662439e-05
1690.8434721827425,1.0496714462662439e-05
1690.9484393273692,1.0496714462662439e-05
1691.0534064719957,1.0496714462662439e-05
1691.1583736166224,1.0496714462662439e-05
1691.263382748107,0.0030230776969174624
1691.3683079058756,1.0496714462662439e-05
1691.4732750505023,1.0496714462662439e-05
1691.578242195129,1.0496714462662439e-05
1691.6832093397554,1.0496714462662439e-05
1691.7881764843821,1.0496714462662439e-05
1691.8931436290088,1.0496714462662439e-05
1691.9981317670643,1.0496714462662439e-05
1692.103077918262,1.0496714462662439e-05
1692.2080450628887,1.0496714462662439e-05
1692.3130122075152,1.0496714462662439e-05
1692.4179793521419,1.0496714462662439e-05
1692.5229464967686,1.0496714462662439e-05
1692.627913641395,1.0496714462662439e-05
1692.7329647597373,0.0028340100458234224
1692.8378479306484,1.0496714462662439e-05
1692.942815075275,1.0496714462662439e-05
1693.0477822199016,1.0496714462662439e-05
1693.1527493645283,1.0496714462662439e-05
1693.258745187172,0.005414195177470672
1693.3626836537815,1.0496714462662439e-05
1693.4676507984082,1.0496714462662439e-05
1693.5726179430346,1.0496714462662439e-05
1693.6775850876613,1.0496714462662439e-05
1693.782552232288,1.0496714462662439e-05
1693.887939245493,0.006510920468254791
1693.9924865215412,1.0496714462662439e-05
1694.101652351953,1.0496714462662439e-05
1694.2024208107944,1.0496714462662439e-05
1694.311586641206,1.0496714462662439e-05
1694.4123551000478,1.0496714462662439e-05
1694.5215209304592,0.017448212411233236
1694.622289389301,1.0496714462662439e-05
1694.731350252568,0.0017493443575384994
1694.8322236785543,1.0496714462662439e-05
1694.9413895089658,0.003433553424325806
1695.0421579678075,1.0496714462662439e-05
1695.1513237982192,0.0016038938545273223
1695.2521972242052,0.002045261248721775
1695.3612580874724,1.0496714462662439e-05
1695.4623624411768,0.0021650868784624283
1695.672821566153,0.003592167937325314
1695.8829028094087,0.0027670929816847865
1696.0931310066671,0.00272238858144758
1696.3048917242368,0.0026067942723801345
1697.3556338353783,0.0130890639111642
1697.5655681246315,1.0496714462662439e-05
1697.7755024138846,1.0496714462662439e-05
1697.9847439199834,0.001221722271608635
1698.194888143526,0.0013000533472981805
1698.4050533604973,0.0013214190214216593
1698.6152185774688,0.0029299472224300622
1698.825173860151,0.012492954388374137
1699.035108149404,0.0026972219374144005
1699.2442236949294,0.0014739785064651386
1699.454367918472,0.0015790743058392465
1699.6645331354434,0.0013346203650391381
1699.8744674246966,0.001679249759170465
1700.084611648239,0.0016108002280076814
1700.2947138849238,0.0018310308568039958
1700.504648174177,1.0496714462662439e-05
1700.71380570656,0.003400022227156032
1700.9239499301025,0.0039389706202291675
1701.134115147074,0.0033591638981057496
1701.3413202905667,0.0016685857069937346
1701.5514645141095,0.0018036554057135402
1701.7600552239114,1.0496714462662439e-05
1701.9701154737381,0.002253090568112736
1702.180238703852,0.002139770064517037
1702.3904039208232,0.001992740153289688
1702.5997923809243,1.0496714462662439e-05
1702.8097266701777,1.0496714462662439e-05
1703.019660959431,1.0496714462662439e-05
1703.229595248684,1.0496714462662439e-05
1703.4395715247954,0.002174520847056574
1703.548695368349,0.008592632046217878
