time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1683.376026218029,8.3785731e-01,1.2046075e-02,-1.0416945e-04,328263,184.99915,1034.12818,2.3753941e+02,3.3600512e+00,3.2939279e+02,1.3202728e+00,3.6524042e+02,5.2511492e+00,0,,,,,184.99915,7.8602247e-03,1034.12818,8.2442975e-03,-9.4809001e-03,-3.0451290e-02
1683.3774151069008,8.4008300e-01,1.2077856e-02,-1.0416887e-04,328264,184.99083,1034.13944,2.3829926e+02,3.3689163e+00,3.3058600e+02,1.3217760e+00,3.6621066e+02,5.2650032e+00,0,,,,,184.99083,7.8333355e-03,1034.13944,8.2801739e-03,-5.1394240e-03,-2.4593728e-02
1683.3788039957658,8.3021867e-01,1.2046313e-02,-1.0416831e-04,328265,184.99445,1034.13655,2.3543105e+02,3.3601174e+00,3.3009146e+02,1.3197933e+00,3.6191058e+02,5.2512527e+00,0,,,,,184.99445,7.9271821e-03,1034.13655,8.3182054e-03,-8.5001048e-03,-3.5036188e-02
1683.3801928846297,8.1927729e-01,1.2011896e-02,-1.0416774e-04,328266,184.99830,1034.13795,2.3220961e+02,3.3505173e+00,3.2876373e+02,1.3185632e+00,3.5714099e+02,5.2362494e+00,0,,,,,184.99830,8.0169830e-03,1034.13795,8.4237251e-03,-8.7768380e-03,-3.5391267e-02
1683.3815817734935,7.9606438e-01,1.1983143e-02,-1.0416717e-04,328267,184.99590,1034.13800,2.2597195e+02,3.3424976e+00,3.3122205e+02,1.3201687e+00,3.4702197e+02,5.2237158e+00,0,,,,,184.99590,8.2076583e-03,1034.13800,8.6645912e-03,-5.1590754e-03,-2.5140459e-02
1683.382970662351,7.9450643e-01,1.1967666e-02,-1.0416661e-04,328268,184.99321,1034.14207,2.2547881e+02,3.3381803e+00,3.2966818e+02,1.3189632e+00,3.4634283e+02,5.2169685e+00,0,,,,,184.99321,8.2032932e-03,1034.14207,8.6804656e-03,-1.0471246e-02,-2.6573464e-02
1683.3843595512076,7.8309971e-01,1.1946969e-02,-1.0416605e-04,328269,184.99534,1034.13106,2.2232561e+02,3.3324072e+00,3.2802512e+02,1.3184828e+00,3.4137039e+02,5.2079463e+00,0,,,,,184.99534,8.3525786e-03,1034.13106,8.7441634e-03,-7.5047477e-03,-3.1566568e-02
1683.3857484400646,7.9473293e-01,1.2042138e-02,-1.0416549e-04,328270,184.99186,1034.12639,2.2564934e+02,3.3589528e+00,3.2828525e+02,1.3214955e+00,3.4644156e+02,5.2494326e+00,0,,,,,184.99186,8.2472181e-03,1034.12639,8.7461947e-03,-7.2104982e-03,-3.2032400e-02
1683.3871373289153,7.8301400e-01,1.1948070e-02,-1.0416494e-04,328271,184.99493,1034.13205,2.2240611e+02,3.3327141e+00,3.2858380e+02,1.3180783e+00,3.4133304e+02,5.2084265e+00,0,,,,,184.99493,8.3152745e-03,1034.13205,8.7904967e-03,-1.3155365e-02,-2.9443095e-02
1683.3885262177646,7.7008051e-01,1.1941636e-02,-1.0416438e-04,328272,184.99015,1034.12935,2.1869017e+02,3.3309195e+00,3.2830826e+02,1.3166114e+00,3.3569504e+02,5.2056217e+00,0,,,,,184.99015,8.4711881e-03,1034.12935,8.9287069e-03,-7.3702685e-03,-2.9427471e-02
