time,flux
1683.3538039952982,404.32166
1683.3551928842137,407.43015
1683.356581773122,388.79865
1683.357970662022,392.65573
1683.359359550922,390.20819
1683.360748439823,389.54666
1683.3621373287235,388.3681
1683.3635262176176,372.23282
1683.364915106511,379.0018
1683.3663039953967,381.87033
1683.3676928842824,376.01285
1683.3690817731683,379.65198
1683.370470662048,360.71793
1683.371859550934,363.50168
1683.373248439806,364.18631
1683.374637328685,356.5213
1683.376026217556,349.64709
1683.3774151064206,351.81787
1683.3788039952929,346.54752
1683.3801928841567,342.13489
1683.3815817730206,330.99252
1683.382970661878,330.11478
1683.3843595507346,324.83429
1683.3857484395917,330.18161
1683.3871373284423,325.38419
1683.3885262172917,318.63965
1683.389915106141,323.25906
1683.3913039949834,333.81863
1683.3926928838257,330.76886
1683.3940817726684,333.79016
1683.3954706615043,339.89633
1683.3968595503388,347.77988
1683.3982484391736,349.66931
1683.3996373280092,349.87564
1683.4010262168367,353.86688
1683.4024151056649,355.93246
1683.4038039944862,347.98706
1683.4051928833064,368.18661
1683.4065817721266,367.78424
1683.4079706609473,370.8324
1683.4093595497616,377.5162
1683.4107484385754,385.31778
1683.4121373273883,385.09186
1683.4135262161944,392.20767
1683.414915105,401.53961
1683.4163039938055,395.53214
1683.4176928826057,400.91208
1683.4190817714116,401.14548
1683.42047066021,410.70517
1683.4218595490015,409.6355
1683.4232484377926,423.40753
1683.4246373265837,422.85764
1683.4260262153762,434.8179
1683.427415104161,444.99277
1683.428803992952,444.17596
1683.430192881729,445.80103
1683.4315817705128,453.41605
1683.4329706592898,474.1149
1683.4343595480675,471.27884
1683.4357484368445,471.29034
1683.4371373256135,481.64893
1683.4385262143835,472.97815
1683.4399151031537,479.88034
1683.4413039919232,487.08295
1683.442692880686,482.12592
1683.4440817694483,484.56287
1683.4454706582032,494.53848
1683.4468595469652,490.81375
1683.4482484357206,492.95425
1683.449637324476,495.46713
1683.4510262132312,475.22864
1683.4524151019796,471.80374
1683.453803990727,472.08902
1683.4551928794745,481.19989
1683.456581768215,476.3634
1683.457970656963,479.63608
1683.459359545704,477.38116
1683.4607484344374,482.50497
1683.4621373231776,484.6272
1683.4635262119104,478.37445
1683.4649151006447,468.9285
1683.4663039893785,481.45679
1683.4676928781037,463.68262
1683.4690817668302,472.6265
1683.4704706555565,466.96176
1683.471859544282,445.35318
1683.4732484330011,446.61392
1683.474637321728,448.40363
1683.476026210446,435.78851
1683.477415099157,443.00937
1683.4788039878763,444.55307
1683.4801928765874,456.7334
1683.4815817652989,431.45526
1683.482970654004,403.65533
1683.484359542715,346.55362
1683.4857484314189,317.68127
1683.487137320123,281.49124
1683.488526208827,268.85074
1683.4899150975243,257.67474
1683.4913039862222,236.51474
1683.4926928749185,249.812
1683.4940817636148,240.00612
1683.4954706523122,240.6752
1683.496859541002,233.83971
1683.498248429692,247.07114
1683.4996373183817,243.86853
1683.5010262070646,258.15875
1683.5024150957536,260.93365
1683.5038039844353,272.5105
1683.5051928731186,295.40125
1683.5065817617942,329.61661
1683.5079706504762,372.15625
1683.509359539151,378.82278
1683.510748427826,389.38034
1683.512137316501,394.70752
1683.5135262051697,404.01157
1683.5149150938446,408.4032
1683.516303982512,426.03012
1683.5176928711803,442.3074
1683.5190817598402,423.90103
1683.5204706485074,424.77649
1683.521859537169,429.39194
1683.52324842583,427.21753
1683.52463731449,422.1496
1683.5260262031434,419.01263
1683.5274150917962,414.61453
1683.5288039804568,433.79141
1683.530192869111,419.85849
1683.5315817577575,427.80252
1683.5329706464104,436.2973
1683.534359535056,424.6459
1683.535748423702,423.59857
1683.5371373123482,419.30557
1683.5385262009945,413.38647
1683.5399150896333,410.83453
1683.5413039782716,417.75623
1683.54269286691,420.99741
1683.544081755549,413.76324
1683.5454706441878,417.11472
1683.546859532819,412.35992
1683.5482484214583,415.12216
1683.5496373100896,413.49683
1683.5510261987206,415.69431
1683.5538039759767,393.68741
1683.555192864601,402.58743
1683.5565817532251,392.49951
1683.557970641849,399.75989
1683.5593595304654,403.03366
1683.5607484190905,396.88614
1683.5621373077083,394.79282
1683.5663039735582,386.19577
1683.5676928621674,399.65677
