JD,Magnitude
2451871.3774007284,15.41
2451871.3783007283,15.44
2451871.3791007283,15.43
2451871.3799007284,15.4
2451871.380800728,15.43
2451871.3816007283,15.44
2451871.382500728,15.39
2451871.383300728,15.44
2451871.3842007285,15.36
2451871.3850007285,15.39
2451871.385800728,15.39
2451871.3867007284,15.43
2451871.3875007285,15.46
2451871.3884007283,15.44
2451871.3892007284,15.4
2451871.3900007284,15.53
2451871.3909007283,15.51
2451871.3917007283,15.48
2451871.392600728,15.55
2451871.3934007282,15.54
2451871.3942007283,15.53
2451871.395100728,15.6
2451871.395900728,15.58
2451871.3968007285,15.6
2451871.3976007286,15.66
2451871.398400728,15.67
2451871.3993007285,15.61
2451871.4001007285,15.63
2451871.4010007284,15.65
2451871.4018007284,15.69
2451871.4027007283,15.65
2451871.4035007283,15.6
2451871.404400728,15.49
2451871.405200728,15.55
2451871.4060007283,15.59
2451871.406900728,15.62
2451871.407700728,15.52
2451871.4086007285,15.61
2451871.4094007285,15.59
2451873.229400729,15.47
2451873.230400729,15.56
2451873.231300729,15.56
2451873.232100729,15.54
2451873.233000729,15.57
2451873.2339007286,15.58
2451873.2347007287,15.57
2451873.2364007286,15.56
2451873.2372007286,15.65
2451873.238100729,15.53
2451873.239800729,15.65
2451873.2407007287,15.64
2451873.2415007288,15.65
2451873.2424007286,15.62
2451873.2432007287,15.59
2451873.244100729,15.64
2451873.2449007286,15.62
2451873.245800729,15.69
2451873.246600729,15.77
2451873.247500729,15.74
2451873.248300729,15.63
2451873.2492007287,15.67
2451873.2501007286,15.59
2451873.2509007286,15.63
2451873.251800729,15.68
2451873.252700729,15.58
2451873.253500729,15.52
2451873.2544007287,15.55
2451873.255200729,15.67
2451873.2561007286,15.66
2451873.257000729,15.8
2451873.257800729,15.58
2451873.258700729,15.65
2451873.2596007288,15.74
2451873.260400729,15.65
2451873.2613007287,15.8
2451873.262200729,15.74
2451873.263100729,15.61
2451873.265600729,15.54
2451873.2665007287,15.68
2451873.2682007286,15.61
2451873.269100729,15.65
2451873.269900729,15.7
2451873.270800729,15.75
2451873.271600729,15.84
2451873.2725007287,15.68
2451873.2733007288,15.8
2451873.2742007286,15.73
2451873.275100729,15.66
2451873.275900729,15.7
2451873.276800729,15.78
2451873.277600729,15.82
2451873.278500729,15.76
2451873.279300729,15.79
2451873.2802007287,15.81
2451873.2810007287,15.81
2451873.2819007286,15.85
2451873.2827007286,15.81
2451873.2835007287,15.79
2451873.284400729,15.74
2451873.2852007286,15.7
2451873.286100729,15.69
2451873.286900729,15.71
2451873.287800729,15.72
2451873.288600729,15.68
2451873.2895007287,15.71
2451873.2903007288,15.78
2451873.2912007286,15.79
2451873.2920007287,15.76
2451873.292900729,15.78
2451873.2937007286,15.79
2451873.2945007286,15.74
2451873.295400729,15.66
2451873.296200729,15.59
2451873.297100729,15.64
2451873.297900729,15.61
2451873.2988007287,15.57
2451873.299600729,15.62
2451873.3005007287,15.63
2451873.3021007287,15.64
2451873.3030007286,15.68
2451873.303900729,15.67
2451873.304700729,15.63
2451873.305500729,15.52
2451873.306400729,15.61
2451873.307200729,15.6
2451873.308000729,15.64
2451873.308900729,15.59
2451873.309700729,15.61
2451873.3106007287,15.67
2451873.3114007288,15.68
2451873.3123007286,15.68
2451873.3131007287,15.61
2451873.3139007287,15.65
2451873.3148007286,15.71
2451873.3156007286,15.73
2451873.316500729,15.72
2451873.317300729,15.76
2451873.318100729,15.71
2451873.319000729,15.72
2451873.3199007288,15.77
2451873.320700729,15.8
2451873.3216007287,15.92
2451873.3224007287,15.96
2451873.3233007286,16.02
2451873.3241007286,16.08
2451873.325000729,16.26
2451873.325800729,16.24
2451873.326600729,16.52
2451873.327500729,16.48
2451873.3284007288,16.63
2451873.329200729,16.69
2451873.330000729,16.57
2451873.3309007287,16.55
2451873.3318007286,16.33
2451873.3326007286,16.27
2451873.333500729,16.13
2451873.334300729,16.07
2451873.335200729,15.92
2451873.336000729,15.78
2451873.3369007288,15.74
2451873.3378007286,15.74
2451873.3386007287,15.82
2451873.339500729,15.68
2451873.3403007286,15.64
2451873.341200729,15.72
2451873.342000729,15.68
2451873.342900729,15.79
2451873.3438007287,15.81
2451873.3446007287,15.72
2451873.3455007286,15.67
2451873.3463007286,15.7
2451873.3471007287,15.74
2451873.348000729,15.62
2451873.348900729,15.64
2451873.349700729,15.7
2451873.3506007288,15.72
2451873.351400729,15.71
2451873.3523007287,15.72
2451873.353200729,15.79
2451873.3540007286,15.83
2451873.354900729,15.78
2451873.355700729,15.76
2451873.356600729,15.7
2451873.357400729,15.67
2451873.3583007287,15.62
2451873.3591007288,15.63
2451873.3600007286,15.66
2451873.3608007287,15.72
2451873.361700729,15.66
2451873.3625007286,15.71
2451873.363400729,15.79
2451873.364200729,15.74
2451873.365000729,15.72
2451873.365900729,15.75
2451873.366700729,15.8
2451873.3676007288,15.82
2451873.368400729,15.84
2451873.369200729,15.8
2451873.3701007287,15.8
2451873.3710007286,15.86
2451873.3718007286,15.81
2451873.3726007286,15.77
2451873.373500729,15.69
2451873.374300729,15.66
2451873.375200729,15.59
2451873.376000729,15.64
2451873.376900729,15.6
2451873.377700729,15.47
2451873.378500729,15.56
2451873.3794007287,15.6
2451873.380200729,15.55
2451873.3811007286,15.62
2451873.3819007287,15.64
2451873.382800729,15.65
2451873.383700729,15.69
2451873.384500729,15.7
2451873.385400729,15.63
2451873.386200729,15.69
2451873.3871007287,15.64
2451873.3879007287,15.62
2451873.3888007286,15.71
2451873.3896007286,15.7
2451873.390500729,15.71
2451873.391300729,15.72
2451873.392200729,15.64
2451873.393000729,15.6
2451873.393900729,15.68
2451873.3948007287,15.68
2451873.3956007287,15.62
2451873.3964007287,15.67
2451873.3973007286,15.71
2451873.3981007286,15.7
2451873.399000729,15.72
2451873.399800729,15.83
2451873.400700729,15.81
2451873.401500729,15.73
2451873.402400729,15.71
2451873.403200729,15.75
2451873.4041007287,15.72
2451873.4049007287,15.72
2451873.4058007286,15.69
2451873.407500729,15.76
2451873.408300729,15.68
2451873.409200729,15.82
2451873.410000729,15.85
2451873.410900729,15.84
2451873.4118007286,15.73
2451873.4126007287,15.8
2451873.4143007286,15.83
2451873.415200729,15.84
2451873.416000729,15.7
2451873.416900729,15.8
2451873.417700729,15.69
2451873.4186007287,15.76
2451873.419400729,15.68
2451873.4203007286,15.74
2451873.4211007287,15.74
2451873.422000729,15.64
2451873.4228007286,15.5
2451873.4236007286,15.6
2451873.424500729,15.51
2451873.425400729,15.6
2451873.426200729,15.49
2451873.4271007287,15.71
2451873.427900729,15.72
2451873.428700729,15.68
2451873.4296007287,15.71
2451873.4304007287,15.76
2451873.4313007286,15.78
2451873.4321007286,15.74
2451873.433000729,15.71
2451873.433900729,15.51
2451873.434700729,15.57
2451873.4356007287,15.58
2451873.4365007286,15.53
2451873.4373007286,15.58
2451873.4381007287,15.55
2451873.439000729,15.51
2451873.440700729,15.62
2451873.4417007286,15.5
2451873.4425007286,15.45
2451873.443400729,15.44
2451873.444300729,15.4
2451873.445100729,15.46
2451873.4460007288,15.43
2451873.446800729,15.52
2451873.4477007287,15.52
2451873.4485007287,15.47
2451873.4493007287,15.61
2451873.4502007286,15.49
2451873.4510007286,15.56
2451873.451900729,15.47
2451873.452800729,15.59
2451873.453600729,15.57
2451873.4545007288,15.58
2451873.455300729,15.52
2451873.4562007287,15.48
2451873.4570007287,15.42
2451873.457900729,15.4
2451873.4587007286,15.45
2451873.459600729,15.53
2451873.460400729,15.52
2451873.461300729,15.54
2451873.4622007287,15.49
2451873.4630007287,15.48
2451873.463800729,15.47
2451873.4647007287,15.46
2451873.4655007287,15.5
2451873.466400729,15.56
2451873.467300729,15.67
2451873.468100729,15.62
2451873.469000729,15.57
2451873.469800729,15.76
2451873.4707007287,15.7
2451873.4715007287,15.74
2451873.4724007286,15.88
2451873.473300729,15.97
2451873.474100729,16.11
2451873.474900729,16.1
2451873.475800729,16.03
2451873.476600729,16.14
2451873.477400729,16.23
2451873.478300729,16.1
2451873.4792007287,15.79
2451873.4800007287,15.82
2451873.4809007286,15.84
2451873.4817007286,15.73
2451873.482600729,15.77
2451873.483400729,15.68
2451875.3130007293,15.46
2451875.3138007293,15.43
2451875.314700729,15.38
2451875.3155007293,15.42
2451875.316400729,15.24
2451875.3173007295,15.33
2451875.3181007295,15.27
2451875.3190007294,15.29
2451875.319900729,15.25
2451875.3207007293,15.29
2451875.321600729,15.31
2451875.322400729,15.27
2451875.323200729,15.27
2451875.3240007292,15.33
2451875.324900729,15.2
2451875.325700729,15.25
2451875.3266007295,15.33
2451875.327400729,15.28
2451875.3283007294,15.32
2451875.3291007294,15.41
2451875.3299007295,15.37
2451875.3308007293,15.34
2451875.3316007294,15.24
2451875.3325007292,15.31
2451875.3333007293,15.23
2451875.3341007293,15.26
2451875.335000729,15.28
2451875.335800729,15.35
2451875.336700729,15.28
2451875.337500729,15.18
2451875.338300729,15.18
2451875.339200729,15.16
2451875.3401007294,15.21
2451875.3409007294,15.23
2451875.3418007293,15.24
2451875.3426007293,15.26
2451875.343500729,15.22
2451875.344300729,15.21
2451875.345200729,15.17
2451875.346000729,15.18
2451875.3469007295,15.2
2451875.347700729,15.1
2451875.3486007294,15.08
2451875.3494007294,15.21
2451875.3503007293,15.18
2451875.3511007293,15.22
2451875.352000729,15.12
2451875.352800729,15.21
2451875.353700729,15.23
2451875.354500729,15.22
2451875.3554007295,15.15
2451875.356200729,15.09
2451875.3571007294,15.29
2451875.3580007292,15.28
2451875.3588007293,15.2
2451875.360500729,15.19
2451875.361400729,15.26
2451875.362200729,15.14
2451875.3631007294,15.26
2451875.3639007295,15.24
2451875.3648007293,15.17
2451875.3656007294,15.12
2451875.3664007294,15.31
2451875.3673007293,15.31
2451875.3681007293,15.32
2451875.369000729,15.27
2451875.369800729,15.33
2451875.3706007292,15.37
2451875.371500729,15.44
2451875.372300729,15.49
2451875.3732007295,15.49
2451875.374000729,15.51
2451875.3749007294,15.61
2451875.3757007294,15.66
2451875.3766007293,15.76
2451875.3774007293,15.85
2451875.3791007292,15.78
2451875.380000729,15.71
2451875.380800729,15.65
2451875.381600729,15.63
2451875.382500729,15.46
2451875.383300729,15.45
2451875.3842007294,15.35
2451875.3850007295,15.3
2451875.385800729,15.19
2451875.3867007294,15.24
2451875.3875007294,15.25
2451875.3884007293,15.24
2451875.3892007293,15.29
2451875.390100729,15.38
2451875.391000729,15.46
2451875.391800729,15.3
2451875.3927007294,15.32
2451875.3935007295,15.25
2451875.3944007293,15.28
2451875.3952007294,15.28
2451875.3961007292,15.25
2451875.3969007293,15.23
2451875.3977007293,15.26
2451875.398600729,15.24
2451875.399500729,15.24
2451875.400300729,15.21
2451875.4012007294,15.23
2451875.4020007295,15.32
2451875.4029007293,15.29
2451875.4037007294,15.29
2451875.4046007292,15.37
2451875.4054007293,15.27
2451875.406300729,15.28
2451875.407100729,15.29
2451875.408000729,15.27
2451875.408800729,15.31
2451875.4097007294,15.27
2451875.4105007295,15.3
2451875.4113007295,15.24
2451875.4122007294,15.19
2451875.413100729,15.2
2451875.4139007293,15.34
2451875.414800729,15.42
2451875.4157007295,15.48
2451875.416500729,15.55
2451875.4174007294,15.47
2451875.4182007294,15.47
2454318.4171607313,15.092
2454318.417420731,15.0085
2454318.417680731,14.894
2454318.417940731,14.9475
2454318.4182007313,14.869
2454318.418460731,14.9215
2454318.418720731,14.854
2454318.418980731,14.8235
2454318.4192407313,14.826
2454318.419530731,14.855
2454318.4198507313,14.8655
2454318.420170731,14.923
2454318.420490731,14.8
2454318.420810731,14.8205
2454318.4211307312,14.8035
2454318.4214407313,14.8285
2454318.421760731,14.851
2454318.422080731,14.8975
2454318.422400731,14.9045
2454318.4227207312,14.8935
2454318.4230307313,14.8115
2454318.423350731,14.832
2454318.423670731,14.9045
2454318.423990731,14.918
2454318.4243107312,15.008
2454318.4246207313,14.982
2454318.424940731,14.9865
2454318.425260731,14.964
2454318.425580731,15.012
2454318.4259007312,14.98
2454318.4262207313,14.894
2454318.426530731,14.949
2454318.426850731,14.9815
2454318.427170731,14.9875
2454318.4274907312,15.0295
2454318.4278107313,15.0185
2454318.428130731,15.0435
2454318.428450731,15.0315
2454318.428760731,14.9515
2454318.4290807312,14.9695
2454318.4294007313,14.9995
2454318.429720731,14.97
2454318.430040731,15.003
2454318.430360731,15.016
2454318.4306807313,14.88
2454318.4309907313,14.949
2454318.431310731,15.045
2454318.431630731,15.0095
2454318.431950731,14.9275
2454318.4322607312,14.88
2454318.4325807313,15.034
2454318.432900731,14.899
2454318.433530731,14.878
2454318.4338507312,14.8675
2454318.4341707313,14.852
2454318.434490731,14.85
2454318.434810731,14.8715
2454318.435120731,14.9015
2454318.4354407312,14.8765
2454318.4357607313,14.937
2454318.436070731,14.965
2454318.436390731,15.0015
2454318.436710731,14.928
2454318.4370307312,14.981
2454318.4373507313,14.965
2454318.437660731,14.9685
2454318.437980731,15.0515
2454318.438300731,15.062
2454318.4386207312,15.082
2454318.438900731,15.191
2454318.439160731,15.1505
2454318.4394207313,15.129
2454318.439680731,15.2515
2454318.439940731,15.243
2454318.440200731,15.3295
2454318.4404707314,15.253
2454318.440730731,15.2845
2454318.4410107313,15.2835
2454318.441270731,15.3835
2454318.441550731,15.3175
2454318.441820731,15.303
2454318.442080731,15.367
2454318.442340731,15.513
2454318.4426007313,15.475
2454318.442860731,15.385
2454318.443120731,15.532
2454318.443380731,15.4515
2454318.4436407313,15.495
2454318.443900731,15.47
2454318.444160731,15.41
2454318.444420731,15.6275
2454318.4446807313,15.594
2454318.444940731,15.49
2454318.445200731,15.6245
2454318.445460731,15.605
2454318.4457207313,15.6825
2454318.445980731,15.5955
2454318.446240731,15.734
2454318.446500731,15.6305
2454318.4467607313,15.604
2454318.447020731,15.6935
2454318.447280731,15.6185
2454318.447540731,15.5835
2454318.4478007313,15.5795
2454318.448080731,15.471
2454318.448340731,15.512
2454318.4486007313,15.5175
2454318.448860731,15.528
2454318.449120731,15.389
2454318.449380731,15.346
2454318.4496307313,15.271
2454318.449900731,15.293
2454318.450160731,15.195
2454318.450410731,15.153
2454318.4506807313,15.1475
2454318.450940731,15.206
2454318.451190731,15.2085
2454318.451450731,15.127
2454318.4517107313,15.091
2454318.451970731,15.1495
2454318.452240731,15.1325
2454318.452500731,15.078
2454318.4527607313,15.104
2454318.453020731,15.112
2454318.453280731,15.224
2454318.453540731,15.1735
2454318.4538007313,15.207
2454318.454060731,15.1465
2454318.454320731,15.1475
2454318.454580731,15.139
2454318.4548407313,15.1005
2454318.455100731,15.113
2454318.455360731,15.0785
2454318.455620731,15.035
2454318.4558807313,15.061
2454318.456130731,15.0235
2454318.456390731,15.09
2454318.456650731,15.0465
2454318.4569107313,15.1135
2454318.457170731,15.0175
2454318.457430731,15.067
2454318.457690731,14.9895
2454318.4579507313,15.085
2454318.458210731,15.096
2454318.458470731,15.0565
2454318.458730731,15.0575
2454318.4590007314,14.966
2454318.459260731,15.084
2454318.459530731,15.074
2454318.4597807312,15.0655
2454318.4600407314,15.022
2454318.460300731,15.04
2454318.460560731,14.987
2454318.4608207312,14.9845
2454318.4610807314,14.9555
2454318.461340731,14.984
2454318.461600731,15.0515
2454318.4618607312,15.078
2454318.462120731,15.023
2454318.462380731,14.9765
2454318.462640731,15.047
2454318.4629007312,14.9805
2454318.463160731,15.0195
2454318.463410731,14.935
2454318.463670731,15.001
2454318.463930731,14.969
2454318.4641907313,14.919
2454318.464450731,14.913
2454318.464710731,15.018
2454318.464970731,14.9345
2454318.4652307313,14.955
2454318.465490731,14.9355
2454318.465750731,15.047
2454318.466010731,15.0315
2454318.4662707313,14.974
2454318.466530731,14.965
2454318.466790731,14.997
2454318.467050731,14.993
2454318.467300731,14.9335
2454318.4675607313,14.984
2454318.467820731,14.99
2454318.468080731,14.979
2454318.468340731,15.113
2454318.4686007313,15.023
2454318.468860731,15.0645
2454318.469120731,15.0405
2454318.469380731,14.9855
2454318.4696407313,15.045
2454318.469900731,14.9905
2454318.470160731,15.055
2454318.470420731,15.074
2454318.4706807313,15.131
2454318.470940731,15.107
2454318.471200731,15.1755
2454318.4714607312,15.2305
2454318.4717207314,15.227
2454318.471980731,15.1385
2454318.472240731,15.1895
2454318.472490731,15.1515
2454318.4727507313,15.181
2454318.473010731,15.204
2454318.473270731,15.1415
2454318.473530731,15.168
2454318.4737907313,15.1915
2454318.474050731,15.134
2454318.474310731,15.171
2454318.474570731,15.1935
2454318.4748307313,15.2075
2454318.475090731,15.145
2454318.475350731,15.171
2454318.475610731,15.1115
2454318.4758707313,15.2405
2454318.476130731,15.2045
2454318.476390731,15.164
2454318.476650731,15.271
2454318.4769107313,15.302
2454318.477170731,15.1815
2454318.477430731,15.166
2454318.477690731,15.191
2454318.477940731,15.1745
2454318.4782007313,15.1315
2454318.478460731,15.086
2454318.478720731,15.1335
2454318.478980731,15.1585
2454318.479250731,15.129
2454318.479510731,15.119
2454318.4797907313,15.159
2454318.480080731,15.2945
2454318.4803407313,15.2195
2454318.480620731,15.2085
2454318.4808907313,15.1965
2454318.481170731,15.16
2454318.481420731,15.2975
2454318.4816807313,15.223
2454319.4675907306,15.7195
2454319.4679707307,15.8155
2454319.4683107305,15.9075
2454319.468600731,15.832
2454319.4688607305,15.8825
2454319.4691207306,15.922
2454319.4693807308,16.006
2454319.469640731,15.9125
2454319.4699007305,15.9095
2454319.4701607306,16.0185
2454319.470430731,15.9455
2454319.4706907305,16.05
2454319.4709507306,16.0305
2454319.4712107307,15.9725
2454319.471460731,15.8945
2454319.471720731,15.94
2454319.4719907306,16.0565
2454319.4722507307,15.9005
2454319.472510731,15.9495
2454319.4727707305,15.8295
2454319.4730307306,15.819
2454319.4732907307,15.885
2454319.473550731,15.816
2454319.4738107305,15.763
2454319.4740707306,15.6835
2454319.4743307307,15.6945
2454319.474590731,15.638
2454319.4748507305,15.608
2454319.4751107306,15.6235
2454319.4753607307,15.582
2454319.475620731,15.6165
2454319.4758807304,15.571
2454319.4761407305,15.593
2454319.4763907306,15.6205
2454319.4766507307,15.6215
2454319.476910731,15.6275
2454319.4771807306,15.6815
2454319.4774507307,15.695
2454319.4777507307,15.7075
2454319.4780007307,15.6865
2454319.478260731,15.666
2454319.4785207305,15.605
2454319.4787807306,15.573
2454319.4790407307,15.5945
2454319.4793107305,15.6805
2454319.4795707306,15.62
2454319.4798307307,15.6815
2454319.4801007304,15.653
2454319.4803507305,15.6235
2454319.4806207307,15.606
2454325.4594207294,14.898
2454325.459680729,14.877
2454325.459940729,14.849
2454325.4602007293,14.8455
2454325.4604607294,14.8475
2454325.460720729,14.882
2454325.460980729,14.8555
2454325.4612407293,14.91
2454325.4615007294,14.9285
2454325.461760729,14.9325
2454325.462020729,14.9185
2454325.4622807293,14.9575
2454325.4625407294,14.942
2454325.462800729,14.987
2454325.463060729,15.022
2454325.4633207293,15.006
2454325.4635807294,14.9665
2454325.463840729,14.958
2454325.464100729,15.003
2454325.4643607293,14.985
2454325.4646107294,15.0275
2454325.4648707295,15.041
2454325.465130729,15.0515
2454325.4653907293,15.0615
2454325.4656507294,15.114
2454325.4659107295,15.0955
2454325.466170729,15.124
2454325.4664307293,15.13
2454325.4666907294,15.1925
2454325.4669507295,15.232
2454325.467210729,15.2075
2454325.4674707293,15.2405
2454325.4677307294,15.227
2454325.4679907295,15.2675
2454325.468250729,15.2965
2454325.4685107293,15.3295
2454325.4687707294,15.395
2454325.4690307295,15.3815
2454325.469290729,15.4265
2454325.4695507293,15.3905
2454325.4698107294,15.461
2454325.470070729,15.4095
2454325.470320729,15.3945
2454325.470580729,15.449
2454325.4708407293,15.484
2454325.4711007294,15.435
2454325.471360729,15.447
2454325.471620729,15.4645
2454325.4718807293,15.3415
2454325.4721407294,15.344
2454325.472400729,15.3335
2454325.472660729,15.2705
2454325.4729207293,15.2965
2454325.4731807294,15.264
2454325.473440729,15.243
2454325.473700729,15.234
2454325.4739607293,15.22
2454325.4742207294,15.1755
2454325.474480729,15.227
2454325.474740729,15.18
2454325.4750007293,15.143
2454325.4752607294,15.161
2454325.475520729,15.132
2454325.475780729,15.1535
2454325.4760407293,15.206
