time,flux
120.00003308057785,404.32166
119.99999284744263,407.43015
119.99999284744263,388.79865
119.99999284744263,392.65573
120.00003308057785,390.2082
119.99999284744263,389.54666
119.99999284744263,388.3681
119.99999284744263,372.23282
119.99999284744263,379.0018
119.99999284744263,381.87033
120.00003308057785,376.01285
119.99999284744263,379.65198
119.99999284744263,360.71793
119.99999284744263,363.50168
119.99999284744263,364.1863
119.99999284744263,356.5213
120.00003308057785,349.6471
119.99999284744263,351.81787
119.99999284744263,346.54752
119.99999284744263,342.1349
119.99999284744263,330.99252
119.99999284744263,330.11478
119.99999284744263,324.8343
119.99999284744263,330.1816
119.99999284744263,325.3842
120.00003308057785,318.63965
119.99999284744263,323.25906
119.99999284744263,333.81863
119.99999284744263,330.76886
119.99999284744263,333.79016
119.99999284744263,339.89633
119.99999284744263,347.77988
119.99999284744263,349.6693
119.99999284744263,349.87564
119.99999284744263,353.86688
119.99999284744263,355.93246
119.99999284744263,347.98706
119.99999284744263,368.1866
119.99999284744263,367.78424
119.99999284744263,370.8324
119.99999284744263,377.5162
119.99999284744263,385.31778
119.99999284744263,385.09186
119.99999284744263,392.20767
119.99999284744263,401.5396
119.99999284744263,395.53214
119.99999284744263,400.91208
119.99999284744263,401.14548
119.99999284744263,410.70517
119.99999284744263,409.6355
119.99999284744263,423.40753
119.99999284744263,422.85764
119.99999284744263,434.8179
119.99999284744263,444.99277
119.99999284744263,444.17596
119.99999284744263,445.80103
119.99999284744263,453.41605
119.99999284744263,474.1149
119.99999284744263,471.27884
119.99999284744263,471.29034
119.99999284744263,481.64893
119.99999284744263,472.97815
119.9999526143074,479.88034
119.99999284744263,487.08295
119.99999284744263,482.12592
119.99999284744263,484.56287
119.99999284744263,494.53848
119.99999284744263,490.81375
119.99999284744263,492.95425
119.99999284744263,495.46713
119.99999284744263,475.22864
119.9999526143074,471.80374
119.99999284744263,472.08902
119.99999284744263,481.1999
119.99999284744263,476.3634
119.99999284744263,479.63608
119.99999284744263,477.38116
119.99999284744263,482.50497
119.9999526143074,484.6272
119.99999284744263,478.37445
119.99999284744263,468.9285
119.99999284744263,481.4568
119.99999284744263,463.68262
119.99999284744263,472.6265
119.9999526143074,466.96176
119.99999284744263,445.35318
119.99999284744263,446.61392
119.99999284744263,448.40363
119.99999284744263,435.7885
119.99999284744263,443.00937
119.9999526143074,444.55307
119.99999284744263,456.7334
119.99999284744263,431.45526
119.99999284744263,403.65533
119.99999284744263,346.55362
119.9999526143074,317.68127
119.99999284744263,281.49124
119.99999284744263,268.85074
119.99999284744263,257.67474
119.9999526143074,236.51474
119.99999284744263,249.812
119.99999284744263,240.00612
119.99999284744263,240.6752
119.9999526143074,233.8397
119.99999284744263,247.07114
119.99999284744263,243.86853
119.99999284744263,258.15875
119.9999526143074,260.93365
119.99999284744263,272.5105
119.99999284744263,295.40125
119.99999284744263,329.6166
119.9999526143074,372.15625
119.99999284744263,378.82278
119.99999284744263,389.38034
119.9999526143074,394.70752
119.99999284744263,404.01157
119.99999284744263,408.4032
119.99999284744263,426.03012
119.9999526143074,442.3074
119.99999284744263,423.90103
119.99999284744263,424.7765
119.9999526143074,429.39194
119.99999284744263,427.21753
119.99999284744263,422.1496
119.9999526143074,419.01263
119.99999284744263,414.61453
119.99999284744263,433.7914
119.9999526143074,419.8585
119.99999284744263,427.80252
119.99999284744263,436.2973
119.9999526143074,424.6459
119.99999284744263,423.59857
119.99999284744263,419.30557
119.9999526143074,413.38647
119.99999284744263,410.83453
119.99999284744263,417.75623
119.9999526143074,420.9974
119.99999284744263,413.76324
119.9999526143074,417.11472
119.99999284744263,412.35992
119.99999284744263,415.12216
119.9999526143074,413.49683
239.99998569488525,415.6943
119.9999526143074,393.6874
119.99999284744263,402.58743
119.9999526143074,392.4995
119.99999284744263,399.7599
119.99999284744263,403.03366
119.9999526143074,396.88614
359.99993830919266,394.79282
119.99999284744263,386.19577
119.9999526143074,399.65677
239.99994546175003,372.73154
239.99994546175003,390.56342
119.99999284744263,371.3892
119.99999284744263,366.73453
119.9999526143074,366.49408
119.99999284744263,365.6082
119.9999526143074,362.29865
119.99999284744263,357.17795
239.99994546175003,356.2757
119.99999284744263,349.85248
119.9999526143074,343.0084
119.99999284744263,348.30798
119.9999526143074,339.04907
119.99999284744263,336.60815
119.9999526143074,340.3924
119.99999284744263,320.6788
119.9999526143074,332.71008
119.99999284744263,328.30255
119.9999526143074,331.01486
119.99999284744263,337.08148
119.9999526143074,329.83887
359.99993830919266,331.84982
479.99989092350006,340.8364
119.9999526143074,360.01782
119.99999284744263,361.9291
119.9999526143074,368.90457
119.99999284744263,366.3866
