JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2452396.9813,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452398.0424,<14.9,,,Vis.,SRX,KW,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452399.0576,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452399.9847,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452400.9222,<14.9,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452403.0146,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452404.0535,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452406.0694,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452407.9292,<14.9,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452409.0771,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452410.1389,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452412.0681,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452423.8917,<14.8,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452425.9646,<14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452426.6514,<14.3,,,Vis.,SXN,K,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452426.9104,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452427.9069,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452429.075,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452430.0236,<14.8,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
