time,flux
1816.089791103483,0.7095282
1816.0911800411484,0.7913595
1816.092568978348,1.5421752
1816.093957916015,0.96165437
1816.095346853216,1.7386225
1816.0967357904156,1.7396792
1816.098124728081,1.6135557
1816.099513665282,2.4184742
1816.100902602483,1.8748096
1816.1022915401486,1.893226
1816.103680477348,2.1317282
1816.1050694145486,1.1491266
1816.1064583522152,2.0627134
1816.1078472894155,2.6583433
1816.109236226616,0.39013824
1816.1106251638166,2.3553426
1816.112014101016,1.9332837
1816.1134030382163,0.9417111
1816.1147919758832,0.75146675
1816.1161809130836,2.5543454
1816.1175698502834,1.0851082
1816.1189587874837,2.7131574
1816.120347724685,3.8055112
1816.1217366618853,1.3310151
1816.1231255990847,-0.8362236
1816.1245145362852,1.8997968
1816.1259034734862,1.7371014
1816.1272924106866,0.94484186
1816.1286813478864,2.0833216
1816.1300702850867,3.881918
1816.131459222287,0.66031295
1816.1328481594876,0.81657946
1816.1342370962225,0.22052519
1816.1356260334228,1.9302948
1816.137014970623,2.7316122
1816.1384039078234,1.1561564
1816.1397928450247,2.574281
1816.1411817817593,1.8462138
1816.142570718959,0.5255756
1816.1439596561586,0.20237741
1816.1453485933598,0.95432794
1816.1467375300952,0.8805302
1816.1481264672948,0.9683762
1816.1495154044947,1.3436677
1816.1509043412293,0.67423075
1816.1522932784303,1.4190727
1816.1536822151652,-0.5802556
1816.1550711523646,2.349355
1816.1564600890995,1.7303247
1816.1578490263005,1.0384367
1816.1592379635008,1.9969273
1816.1606269002357,0.46894643
1816.1620158369706,0.97705203
1816.16340477417,-0.13669212
1816.1647937109046,1.8197823
1816.1661826481059,0.6699069
1816.1675715848405,-0.59562767
1816.1689605220404,1.547624
1816.1703494587741,1.504783
1816.1717383955097,0.52174497
1816.173127332711,1.157657
1816.1745162694447,1.7267356
1816.1759052061796,0.41678467
1816.177294142915,1.6135478
1816.1786830801152,-0.14684723
1816.1800720168494,3.4075098
1816.181460953584,-0.0626007
1816.1828498903187,2.1076157
1816.1842388270536,-1.6374333
1816.1856277642541,0.07856949
1816.1870167009888,1.8506519
1816.1884056377235,-0.4998255
1816.1897945744574,-1.8407687
1816.1911835111928,-0.8858258
1816.1925724479283,1.7863109
1816.1939613846623,0.5723747
1816.1953503213963,1.7864727
1816.1967392581319,0.41995144
1816.198128194867,0.03353735
1816.1995171316012,2.1305628
1816.2009060683354,-0.1681211
1816.20229500507,0.3924381
1816.2036839418054,0.45114973
1816.2050728780746,1.2186857
1816.2064618148083,1.8649285
1816.2078507515432,1.8314452
1816.209239688278,-0.5937009
1816.2106286250128,1.7010586
1816.2120175612822,1.2089816
1816.213406498017,1.6967235
1816.214795434751,1.3978748
1816.2161843714857,-0.20470873
1816.2175733077556,0.073108904
1816.2189622444903,-0.3814831
1816.2203511812245,0.94000053
1816.2217401174926,0.9157566
1816.2231290542281,2.268796
1816.2245179909637,1.825576
1816.2259069272318,1.9803747
1816.2272958639667,1.2774382
1816.228684800236,0.66243166
1816.2300737369706,-0.65731627
1816.2314626732395,0.902863
1816.2328516099742,0.47173163
1816.2342405462432,-1.4078848
1816.2356294829779,1.0519648
1816.237018419247,0.6606488
1816.2384073555163,1.782122
1816.239796292251,2.9294164
1816.2411852285193,0.21745229
1816.242574164789,0.8150691
1816.2439631015245,1.9441592
1816.2453520377926,0.9254715
1816.2467409740611,0.04198298
1816.2481299107958,1.328326
1816.2495188470657,1.6965842
1816.2509077833347,-0.33302534
1816.2522967196032,-0.27903458
1816.2536856558722,2.151089
1816.2550745926076,1.5730492
1816.2564635288768,0.9730091
1816.2578524651449,2.9092174
1816.2592414014139,2.3720007
1816.260630337683,-0.52796453
1816.2620192739523,1.63942
1816.2634082102218,0.08213258
1816.264797146491,0.7189168
1816.2661860827593,1.5938895
1816.2675750190278,1.102363
1816.2689639552975,2.0867763
1816.2703528915672,1.7244637
1816.2717418278357,-0.2850322
1816.2731307641038,-0.1726685
1816.2745197003737,-0.12859036
1816.2759086366436,0.23570585
1816.2772975729117,0.011579653
1816.2786865087153,0.4365816
1816.2800754449845,1.4295623
1816.2814643812535,0.14718826
1816.2828533175225,1.7681243
1816.2842422537915,-0.49983773
1816.2856311895948,0.9109098
1816.2870201258634,0.71583116
1816.2884090621324,2.1977425
1816.2897979979366,1.5925685
1816.2911869342056,0.70731425
1816.2925758704737,-0.7783626
1816.293964806278,1.2481602
1816.2953537425478,-0.060601622
1816.296742678816,1.015198
1816.2981316146188,0.45691982
1816.2995205508878,0.7820572
1816.300909486692,0.43174487
1816.302298422961,2.433935
1816.303687358764,1.4330755
1816.305076295033,1.4995539
1816.3064652308362,1.2990687
1816.3078541671052,1.2486347
1816.3092431029095,-0.1144779
1816.3106320387128,-0.3255029
1816.3120209749811,1.054847
1816.3134099107847,0.69125795
1816.3147988465885,2.6271985
1816.3161877828577,1.2951614
1816.3175767186603,1.071377
1816.3189656544632,0.58873564
1816.3203545907327,1.4982091
1816.321743526537,-0.82167554
1816.3231324623398,0.39315826
1816.3245213981422,1.2109065
1816.3259103339458,0.6579723
1816.3272992702155,0.27250892
1816.3286882060188,0.9032082
1816.3300771418224,2.0080955
1816.331466077626,1.8846864
1816.3328550134293,0.3190179
1816.3342439492326,2.3545108
1816.335632885036,-0.13130903
1816.3370218208393,3.1257231
1816.3384107566421,1.5671587
1816.3397996924455,-2.2352676
1816.342577564053,1.1074591
1816.3439664998555,-1.8246802
1816.345355435659,1.2648158
1816.346744371463,-0.8653892
1816.3481333072664,-2.8685687
1816.3495222426036,-2.882396
1816.350911178407,-2.0443442
1816.3523001142112,-1.8341138
1816.3536890500145,-0.6245026
